seed,sample,ranking_score
2063740159,0,0.8238613483479111
2063740159,1,0.7995240169069388
2063740159,2,0.8152821111433652
2063740159,3,0.7917524034560085
2063740159,4,0.7885441223649112
2063740160,0,0.8263001069485119
2063740160,1,0.8103969318608861
2063740160,2,0.8079304166619047
2063740160,3,0.784054572251152
2063740160,4,0.8037151465682763
2063740161,0,0.7958411901355139
2063740161,1,0.796865464419602
2063740161,2,0.8181350228135289
2063740161,3,0.7973239575626354
2063740161,4,0.7990522641919063
2063740162,0,0.8237088375076104
2063740162,1,0.7937759235020992
2063740162,2,0.8347476592539502
2063740162,3,0.7981741864882816
2063740162,4,0.7962493926447824
2063740163,0,0.83150096583173
2063740163,1,0.8317527463125436
2063740163,2,0.8279276696343887
2063740163,3,0.7940487011634815
2063740163,4,0.8115987659408865
2063740164,0,0.7910709721591468
2063740164,1,0.7786152253052395
2063740164,2,0.7995320703755964
2063740164,3,0.7775190511139393
2063740164,4,0.7844393785651418
2063740165,0,0.8044168562325618
2063740165,1,0.8034615810434046
2063740165,2,0.8179823025515934
2063740165,3,0.7956383615910112
2063740165,4,0.7759947583406808
2063740166,0,0.778114622737248
2063740166,1,0.7864396723358582
2063740166,2,0.7961906397820383
2063740166,3,0.7970283059978082
2063740166,4,0.7771384259270603
2063740167,0,0.803526819425448
2063740167,1,0.7895021859781717
2063740167,2,0.7875126657850663
2063740167,3,0.8029102986350765
2063740167,4,0.7997423453473819
2063740168,0,0.8149379328514046
2063740168,1,0.8165930904265051
2063740168,2,0.8001174061671985
2063740168,3,0.7954560875044608
2063740168,4,0.8307259915333418
2063740169,0,0.7909807273317975
2063740169,1,0.7962869972863014
2063740169,2,0.7608783239975582
2063740169,3,0.8145454560763145
2063740169,4,0.7862948300708343
2063740170,0,0.807372978034874
2063740170,1,0.8039306630569548
2063740170,2,0.765147084504254
2063740170,3,0.7873674001683078
2063740170,4,0.7792962569520199
2063740171,0,0.7890885850100872
2063740171,1,0.8102255548877356
2063740171,2,0.8326502525596512
2063740171,3,0.8261702098713852
2063740171,4,0.8474454926569799
2063740172,0,0.8095349149431401
2063740172,1,0.8135224326488011
2063740172,2,0.7914098603690534
2063740172,3,0.7958534155790287
2063740172,4,0.8096717346966589
2063740173,0,0.7935476722499548
2063740173,1,0.8153515284911206
2063740173,2,0.8176904409522235
2063740173,3,0.7708458772372172
2063740173,4,0.797789153504393
2063740174,0,0.8168834375710246
2063740174,1,0.8034870290010812
2063740174,2,0.8078315099728528
2063740174,3,0.8208036066093354
2063740174,4,0.8246463109246278
2063740175,0,0.7950045149306979
2063740175,1,0.7953437452761162
2063740175,2,0.7900498509522157
2063740175,3,0.8052631362873394
2063740175,4,0.7963514819142374
2063740176,0,0.8217424512741274
2063740176,1,0.796926506880778
2063740176,2,0.812734817716001
2063740176,3,0.8117976348675799
2063740176,4,0.7949482164611414
2063740177,0,0.8228112763298421
2063740177,1,0.8126928793057477
2063740177,2,0.7988159661981178
2063740177,3,0.7949182126978501
2063740177,4,0.7992519096006475
2063740178,0,0.8167060660310983
2063740178,1,0.7919637242327052
2063740178,2,0.8238980760123955
2063740178,3,0.8214227632239384
2063740178,4,0.7954356826300939
